Model,Corruption,TTA,Class,Precision,Recall,F1,Specificity,Jaccard
ResNet18,Thinning (threshold=0.3),Yes,a,0.9821428571428571,1.0,0.990990990990991,0.9994652406417113,0.9821428571428571
ResNet18,Thinning (threshold=0.3),Yes,b,1.0,0.9818181818181818,0.9908256880733946,1.0,0.9818181818181818
ResNet18,Thinning (threshold=0.3),Yes,d,1.0,0.9818181818181818,0.9908256880733946,1.0,0.9818181818181818
ResNet18,Thinning (threshold=0.3),Yes,e,0.9298245614035088,0.9636363636363636,0.9464285714285714,0.9978609625668449,0.8983050847457628
ResNet18,Thinning (threshold=0.3),Yes,f,0.9795918367346939,0.8727272727272727,0.9230769230769231,0.9994652406417113,0.8571428571428571
ResNet18,Thinning (threshold=0.3),Yes,g,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9989304812834224,0.9473684210526315
ResNet18,Thinning (threshold=0.3),Yes,gb,1.0,1.0,1.0,1.0,1.0
ResNet18,Thinning (threshold=0.3),Yes,h,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9994652406417113,0.9642857142857143
ResNet18,Thinning (threshold=0.3),Yes,i,0.8823529411764706,0.8181818181818182,0.8490566037735849,0.9967914438502674,0.7377049180327869
ResNet18,Thinning (threshold=0.3),Yes,j,0.9473684210526315,0.9818181818181818,0.9642857142857143,0.9983957219251337,0.9310344827586207
ResNet18,Thinning (threshold=0.3),Yes,k,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9989304812834224,0.9298245614035088
ResNet18,Thinning (threshold=0.3),Yes,l,0.828125,0.9636363636363636,0.8907563025210085,0.9941176470588236,0.803030303030303
ResNet18,Thinning (threshold=0.3),Yes,m,1.0,1.0,1.0,1.0,1.0
ResNet18,Thinning (threshold=0.3),Yes,n,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9994652406417113,0.9642857142857143
ResNet18,Thinning (threshold=0.3),Yes,o,0.9811320754716981,0.9454545454545454,0.9629629629629629,0.9994652406417113,0.9285714285714286
ResNet18,Thinning (threshold=0.3),Yes,p,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9994652406417113,0.9642857142857143
ResNet18,Thinning (threshold=0.3),Yes,r,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9989304812834224,0.9473684210526315
ResNet18,Thinning (threshold=0.3),Yes,s,1.0,0.9636363636363636,0.9814814814814815,1.0,0.9636363636363636
ResNet18,Thinning (threshold=0.3),Yes,t,0.9137931034482759,0.9636363636363636,0.9380530973451328,0.9973262032085561,0.8833333333333333
ResNet18,Thinning (threshold=0.3),Yes,u,0.9649122807017544,1.0,0.9821428571428571,0.9989304812834224,0.9649122807017544
ResNet18,Thinning (threshold=0.3),Yes,w,0.9821428571428571,1.0,0.990990990990991,0.9994652406417113,0.9821428571428571
ResNet18,Thinning (threshold=0.3),Yes,y,1.0,0.9818181818181818,0.9908256880733946,1.0,0.9818181818181818
ResNet18,Thinning (threshold=0.3),Yes,à,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9994652406417113,0.9642857142857143
ResNet18,Thinning (threshold=0.3),Yes,á,0.9814814814814815,0.9636363636363636,0.9724770642201835,0.9994652406417113,0.9464285714285714
ResNet18,Thinning (threshold=0.3),Yes,è,1.0,1.0,1.0,1.0,1.0
ResNet18,Thinning (threshold=0.3),Yes,é,1.0,1.0,1.0,1.0,1.0
ResNet18,Thinning (threshold=0.3),Yes,ì,0.8983050847457628,0.9636363636363636,0.9298245614035088,0.9967914438502674,0.8688524590163934
ResNet18,Thinning (threshold=0.3),Yes,í,1.0,0.8727272727272727,0.9320388349514563,1.0,0.8727272727272727
ResNet18,Thinning (threshold=0.3),Yes,ò,0.9473684210526315,0.9818181818181818,0.9642857142857143,0.9983957219251337,0.9310344827586207
ResNet18,Thinning (threshold=0.3),Yes,ó,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9989304812834224,0.9473684210526315
ResNet18,Thinning (threshold=0.3),Yes,ù,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9994652406417113,0.9642857142857143
ResNet18,Thinning (threshold=0.3),Yes,ú,1.0,0.9454545454545454,0.9719626168224299,1.0,0.9454545454545454
ResNet18,Thinning (threshold=0.3),Yes,ṣ,1.0,1.0,1.0,1.0,1.0
ResNet18,Thinning (threshold=0.3),Yes,ẹ,1.0,0.9636363636363636,0.9814814814814815,1.0,0.9636363636363636
ResNet18,Thinning (threshold=0.3),Yes,ọ,0.9821428571428571,1.0,0.990990990990991,0.9994652406417113,0.9821428571428571
