train_loss,train_acc,val_loss,val_acc
3.5794049311375273,2.857142857142857,3.557185236612956,2.857142857142857
3.5567132597384243,2.993739328400683,3.556739060084025,2.857142857142857
3.3590369950170103,6.90950483779169,3.05720325311025,11.640211640211641
2.882661539575328,15.378486055776893,2.7301661173502603,18.253968253968253
2.609481904817664,21.91235059760956,2.5393904368082683,21.746031746031747
2.387164568555528,26.78429140580535,2.2681514898935955,30.317460317460316
2.177769132282423,32.89698349459306,2.2929008324941,29.62962962962963
2.033697397812553,35.594763801935116,2.114743709564209,32.857142857142854
1.918245274087657,38.975526465566304,1.8459379116694132,39.84126984126984
1.8509294433870178,39.62435970404098,1.914359704653422,37.56613756613756
1.788255897121153,41.6505406943654,1.7676181316375732,43.96825396825397
1.7084389130274455,43.927148548662494,1.7024786472320557,42.698412698412696
1.602957893108976,47.353443369379626,1.5512361447016398,47.98941798941799
1.417641143867935,53.87592487194081,1.4085190415382385,56.03174603174603
1.2737269539763962,60.09106431417188,1.3914645512898762,57.24867724867725
1.197767916796864,62.32214001138304,1.3994609395662942,55.87301587301587
1.1392935376236404,63.927148548662494,1.4226219018300374,55.13227513227513
1.0623447903688403,66.20375640295958,1.1165323734283448,66.08465608465609
1.0263858713965486,68.32100170745589,1.320763878027598,58.2010582010582
0.994075678396916,68.76494023904382,1.1511771996816,64.55026455026454
0.9597926528557487,69.90324416619238,1.030000909169515,68.46560846560847
0.9184943817663884,71.6903813318156,1.0179503242174783,68.04232804232804
0.8829650766607644,72.85145133750711,1.1448002497355143,62.96296296296296
0.8594098056572071,72.97666476949345,1.2278225501378377,60.79365079365079
0.8419411899386973,73.38645418326693,1.1204614679018656,64.81481481481481
0.8281464706296506,74.18326693227091,1.0516908208529154,66.45502645502646
0.7530761274738588,76.66476949345476,0.9373011072476705,72.11640211640211
0.7254154699436133,77.63232783153101,0.8802957574526469,74.44444444444444
0.7026849389076233,78.429140580535,0.9140361467997233,71.37566137566138
0.6925053881562274,78.94137734775185,0.8640641768773397,73.4920634920635
0.6636311169983684,80.17074558907228,0.953834342956543,71.42857142857143
0.6691043808840323,79.18042117245305,0.8747971773147583,73.12169312169313
0.6546660575313844,80.04553215708594,0.8653088470300039,74.97354497354497
0.6534999332566193,80.44393853158793,0.8705471396446228,73.28042328042328
0.6168410994004512,81.74160500853728,0.8036274055639903,76.66666666666667
0.60169391873954,82.0375640295959,0.8120525062084198,76.66666666666667
0.5939371952976006,82.70916334661355,0.8214527189731597,76.71957671957672
0.5841335075488989,82.76607854297097,0.8010424415270487,76.56084656084656
0.5748661138873169,83.32384746727377,0.8315891901652018,76.03174603174604
0.5760370544765306,82.9709732498577,0.8118626634279887,77.3015873015873
0.5716811677683955,82.95959021058623,0.8020690739154815,76.71957671957672
0.5689376437145731,83.19863403528743,0.8061640163262686,76.5079365079365
0.5522827596768088,83.57427433124644,0.7833005011081695,77.35449735449735
0.5386865234029465,84.09789413773477,0.7823142031828563,76.82539682539682
0.5355675708556521,84.38247011952191,0.7900906284650167,77.24867724867725
0.5295465761336727,84.64428002276608,0.7882367352644603,76.77248677248677
0.538287015064903,84.4735344336938,0.7951656818389893,76.6137566137566
0.5330426217853159,84.42800227660786,0.7823252399762471,77.4074074074074
0.5194668143555738,85.38417757541264,0.773101419210434,77.67195767195767
0.5160977607188018,85.27034718269778,0.7745453079541524,77.46031746031746
0.5157727530037147,84.81502561183837,0.778046460946401,77.88359788359789
0.5116365141626718,85.19066590779738,0.7715603590011597,77.83068783068784
0.5113159081210261,85.37279453614114,0.7710130790869395,77.4074074074074
0.5104008796422378,84.86055776892431,0.77402739127477,77.88359788359789
0.5059619580490001,85.55492316448492,0.776628319422404,77.67195767195767
0.5066421442273734,85.31587933978372,0.7695268313090007,77.77777777777777
0.5099477616773136,85.12236767216847,0.7696152766545613,77.83068783068784
0.5036957471267037,85.68013659647126,0.7659353415171305,78.14814814814815
0.5070277901663296,85.50939100739897,0.7756294667720794,77.72486772486772
0.5019272976163505,85.30449630051224,0.7779620548089345,78.2010582010582
