Model,Corruption,Method,Accuracy,Balanced_Acc,MCC,F1_macro
ResNet18,Gaussian Blur (σ=2),BN_mom=0.05,0.9766233766233766,0.9766233766233767,0.9759632123528946,0.9765866761212681
ResNet18,Salt-Pepper Noise (5%),BN_mom=0.05,0.958961039,0.9589610389610389,0.9577928580021332,0.9593022275736273
ResNet18,Thinning (threshold=0.3),BN_mom=0.05,0.9724675324675325,0.9724675324675324,0.9716860972368223,0.9725455013307169
ResNet18,Gaussian Blur (σ=2),BN_mom=0.1,0.972987013,0.972987013,0.9722238432621658,0.9729113841969989
ResNet18,Salt-Pepper Noise (5%),BN_mom=0.1,0.9641558441558442,0.9641558441558441,0.963133444,0.9643084124139418
ResNet18,Thinning (threshold=0.3),BN_mom=0.1,0.9683116883116883,0.9683116883116883,0.9674121977479925,0.968337172
ResNet18,Gaussian Blur (σ=2),BN_mom=0.2,0.961038961,0.9610389610389611,0.9599407830189706,0.9608389282652107
ResNet18,Salt-Pepper Noise (5%),BN_mom=0.2,0.9625974025974026,0.9625974025974027,0.9615349896767473,0.9625691278238323
ResNet18,Thinning (threshold=0.3),BN_mom=0.2,0.96,0.9600000000000001,0.958864818,0.959956968
ResNet18,Gaussian Blur (σ=2),BN_mom=0.5,0.8987012987012987,0.8987012987012987,0.8958152505641757,0.898230417
ResNet18,Salt-Pepper Noise (5%),BN_mom=0.5,0.8976623376623377,0.8976623376623376,0.8947299584264649,0.8978218584675165
ResNet18,Thinning (threshold=0.3),BN_mom=0.5,0.8914285714285715,0.8914285714285715,0.888331295,0.8910805319938504
YorubaNet,Gaussian Blur (σ=2),TTT_lr=1e-05_steps=1,0.44103896103896106,0.44103896103896095,0.4263361201680835,0.43741580485634424
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=1e-05_steps=1,0.32311688311688314,0.3231168831168831,0.3046898358921932,0.3300706889788807
YorubaNet,Thinning (threshold=0.3),TTT_lr=1e-05_steps=1,0.4202597402597403,0.4202597402597403,0.4049219705566637,0.4183850852603381
YorubaNet,Gaussian Blur (σ=2),TTT_lr=1e-05_steps=3,0.44155844155844154,0.44155844155844154,0.42687832800215725,0.43748441618264244
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=1e-05_steps=3,0.32831168831168833,0.3283116883116882,0.31020612322663343,0.3370214737780328
YorubaNet,Thinning (threshold=0.3),TTT_lr=1e-05_steps=3,0.4187012987012987,0.41870129870129863,0.40330601658019816,0.41711319907688554
YorubaNet,Gaussian Blur (σ=2),TTT_lr=1e-05_steps=5,0.44363636363636366,0.4436363636363636,0.4290225386624551,0.44041478031681625
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=1e-05_steps=5,0.3522077922077922,0.3522077922077922,0.33468568967072954,0.3581402385810392
YorubaNet,Thinning (threshold=0.3),TTT_lr=1e-05_steps=5,0.4192207792207792,0.41922077922077916,0.4038342173355307,0.4179244671860317
YorubaNet,Gaussian Blur (σ=2),TTT_lr=0.0001_steps=1,0.44415584415584414,0.44415584415584414,0.4295446906870987,0.441042256
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=0.0001_steps=1,0.3475324675324675,0.34753246753246747,0.32994066682556045,0.3527988288624864
YorubaNet,Thinning (threshold=0.3),TTT_lr=0.0001_steps=1,0.4238961038961039,0.4238961038961038,0.40867730023997817,0.42214568058197816
YorubaNet,Gaussian Blur (σ=2),TTT_lr=0.0001_steps=3,0.45246753246753246,0.45246753246753246,0.43811767092210296,0.4472207432306776
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=0.0001_steps=3,0.3667532467532468,0.3667532467532467,0.3498240661461879,0.37170047378588034
YorubaNet,Thinning (threshold=0.3),TTT_lr=0.0001_steps=3,0.4368831168831169,0.43688311688311693,0.4219607777617284,0.4345048658238057
YorubaNet,Gaussian Blur (σ=2),TTT_lr=0.0001_steps=5,0.44831168831168833,0.44831168831168833,0.4338453622011059,0.44339254185450294
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=0.0001_steps=5,0.37194805194805197,0.3719480519480519,0.35496687590712483,0.37741391133649216
YorubaNet,Thinning (threshold=0.3),TTT_lr=0.0001_steps=5,0.4342857142857143,0.4342857142857143,0.4192927488867035,0.43036996917705844
YorubaNet,Gaussian Blur (σ=2),TTT_lr=0.001_steps=1,0.4742857142857143,0.4742857142857143,0.46061805805387696,0.4669184141150002
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=0.001_steps=1,0.4031168831168831,0.40311688311688315,0.38721283110745297,0.40312118669329666
YorubaNet,Thinning (threshold=0.3),TTT_lr=0.001_steps=1,0.454025974,0.454025974,0.4397368945100053,0.4480753726688308
YorubaNet,Gaussian Blur (σ=2),TTT_lr=0.001_steps=3,0.38961038961038963,0.38961038961038963,0.3733494508108827,0.3800821386780808
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=0.001_steps=3,0.4664935064935065,0.4664935064935065,0.4522501247390238,0.4694787921544032
YorubaNet,Thinning (threshold=0.3),TTT_lr=0.001_steps=3,0.3916883116883117,0.3916883116883117,0.3754826465146365,0.38222395351459343
YorubaNet,Gaussian Blur (σ=2),TTT_lr=0.001_steps=5,0.3361038961038961,0.3361038961038962,0.3184015833128415,0.3250258225105759
YorubaNet,Salt-Pepper Noise (5%),TTT_lr=0.001_steps=5,0.4103896103896104,0.4103896103896104,0.3947111786626907,0.4079355064746144
YorubaNet,Thinning (threshold=0.3),TTT_lr=0.001_steps=5,0.3194805194805195,0.3194805194805194,0.30123953425429423,0.3067620450304548
ResNet18,Gaussian Blur (σ=2),TTT_lr=1e-05_steps=1,0.5345454545454545,0.5345454545454544,0.5213539255238699,0.5314063327077362
ResNet18,Salt-Pepper Noise (5%),TTT_lr=1e-05_steps=1,0.5366233766233767,0.5366233766233766,0.5235818704700365,0.5348148705562248
ResNet18,Thinning (threshold=0.3),TTT_lr=1e-05_steps=1,0.5340259740259741,0.534025974,0.5208473587815997,0.5308399602962973
ResNet18,Gaussian Blur (σ=2),TTT_lr=1e-05_steps=3,0.531948052,0.531948052,0.5186641454377412,0.5286061403161165
ResNet18,Salt-Pepper Noise (5%),TTT_lr=1e-05_steps=3,0.5387012987012987,0.5387012987012987,0.5256476513474349,0.5349004044643845
ResNet18,Thinning (threshold=0.3),TTT_lr=1e-05_steps=3,0.5314285714285715,0.5314285714285713,0.5181757605790633,0.5286435233101889
ResNet18,Gaussian Blur (σ=2),TTT_lr=1e-05_steps=5,0.5303896103896104,0.5303896103896104,0.5170766509711332,0.527579315
ResNet18,Salt-Pepper Noise (5%),TTT_lr=1e-05_steps=5,0.5392207792207793,0.5392207792207793,0.5262095915319154,0.5367204767381579
ResNet18,Thinning (threshold=0.3),TTT_lr=1e-05_steps=5,0.531948052,0.5319480519480521,0.5186987933249402,0.5292683267679296
ResNet18,Gaussian Blur (σ=2),TTT_lr=0.0001_steps=1,0.5277922077922078,0.5277922077922078,0.5144131570383076,0.5249186434730296
ResNet18,Salt-Pepper Noise (5%),TTT_lr=0.0001_steps=1,0.5314285714285715,0.5314285714285715,0.5181653754743719,0.5269388519564546
ResNet18,Thinning (threshold=0.3),TTT_lr=0.0001_steps=1,0.5241558441558442,0.5241558441558442,0.5106499273967404,0.5216036255883901
ResNet18,Gaussian Blur (σ=2),TTT_lr=0.0001_steps=3,0.49454545454545457,0.4945454545454545,0.48018671177571565,0.4896732774948334
ResNet18,Salt-Pepper Noise (5%),TTT_lr=0.0001_steps=3,0.5101298701298701,0.5101298701298701,0.49620254288330023,0.5068036181353297
